Part Number,Ja,Fe,Ma,Ap,My,Ju,Jl,Au,Se,Oc,No,De,1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,This Year,Last Year
4053-001-036-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9049100344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7146892696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
7129909733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7149110352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7149480705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7129964677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
45-8867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7147701307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11111460392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11008566397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7147007916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7129964672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
7147321144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11110010161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11111337567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7130757758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
HF563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111340009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7149141517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
11009056146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
11111342242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
11111341087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
