,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
35631,540,19.49,10.23,41,0,0,0,0,0,0,0,0,0,0,0,0,58,62,-89,69,65,-128,-76,0,0,0,0,-39,84,-55,117,-89,-39,-39,-39,-39,-39,-39,-39,9.259999999999998,379.6599999999999,52.49,0
35633,11427721779,32.99,16.74,73,0,0,0,0,0,0,0,0,0,0,0,0,17,18,47,37,45,46,44,0,0,0,0,-2,20,51,-113,-17,-2,-2,-2,-1,-1,-1,-1,16.250000000000004,1186.2500000000002,50.74,0
41311,410159516,23.99,9.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,14.939999999999998,14.939999999999998,37.72,1
44498,1802-0346,274.99,105.615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,169.375,169.375,38.41,0
48751,2879768-266-T,350.99,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,350.99,350.99,0.0,1
49105,2882864-156,129.99,39.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,90.99000000000001,90.99000000000001,30.0,1
57775,T2405631-HN,2511.99,1786.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,725.3999999999999,725.3999999999999,71.12,1
58660,T2049301,59.99,27.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,4,32.480000000000004,32.480000000000004,45.86,1
60472,53214-371-010-AM,19.99,9.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,10.659999999999998,10.659999999999998,46.67,0
60473,53213-MB4-771-AM,19.99,9.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,10.259999999999998,10.259999999999998,48.67,0
60474,91016-KT8-005-AM,59.99,26.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,33.64,33.64,43.92,0
60501,361-0380,64.99,30.19,3,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,104.39999999999999,46.45,1
60502,361-3192,52.99,29.18,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.810000000000002,23.810000000000002,55.07,1
60536,7072767,175.99,79.97,3,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.02000000000001,288.06000000000006,45.44,1
60810,555-06475,89.99,27.0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,62.989999999999995,62.989999999999995,30.0,0
60925,286140306,334.99,117.25,1,0,1,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,217.74,217.74,35.0,0
60994,T3990061,333.99,127.78,2,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.21,412.42,38.26,1
61014,314-A3609,31.99,11.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,20.769999999999996,20.769999999999996,35.07,0
61082,66-12370,94.99,44.23,2,0,0,0,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,7,9,50.76,101.52,46.56,0
61123,66-14841,349.99,188.45,4,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.54000000000002,646.1600000000001,53.84,1
61127,501-514S,1.99,1.39,16,0,0,0,0,-18,2,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-16,-16,-16,-16,0.6000000000000001,9.600000000000001,69.85,0
61137,501-515S,1.99,1.65,46,0,0,0,0,4,-40,0,0,0,0,0,-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,-34,-26,-20,-20,-20,0.3400000000000001,15.640000000000004,82.91,0
61266,1120-0363,209.99,96.97,2,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,113.02000000000001,226.04000000000002,46.18,0
61461,372405,220.99,119.93,2,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.06,202.12,54.27,1
61464,T2022080,340.99,231.65,1,0,0,0,-2,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,109.34,109.34,67.93,0
61557,381132,159.99,41.0,3,0,1,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,118.99000000000001,356.97,25.63,0
61662,2879577-01,259.99,78.0,1,0,0,0,0,0,0,1,0,1,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,1,2,2,2,2,181.99,181.99,30.0,0
61721,MBTS14160-37,137.99,69.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,68.99000000000001,137.98000000000002,50.0,1
61894,5454138-463,134.99,67.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,67.50000000000001,67.50000000000001,50.0,0
61933,286963409,179.99,63.0,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,116.99000000000001,350.97,35.0,1
61955,7517305,5.99,2.7,6,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3.29,19.740000000000002,45.08,1
62831,65010243C,157.99,50.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,107.48000000000002,107.48000000000002,31.97,1
